id,time,x,y
81,0,576,0
81,568,568,0
81,1140,572,0
81,1716,576,0
81,2284,568,0
81,2860,576,0
81,3420,560,0
81,3992,572,0
81,4564,572,0
81,5132,568,0
81,5628,496,0
81,6272,644,0
81,6848,576,0
81,7420,572,0
81,7992,572,1
81,8556,564,1
81,9120,564,1
81,9736,616,1
81,10248,512,1
81,10816,568,1
81,11384,568,1
81,11952,568,1
81,12524,572,1
81,13104,580,0
81,13684,580,0
81,14264,580,0
81,14852,588,0
81,15440,588,0
81,16032,592,0
81,16628,596,0
81,17216,588,0
81,17812,596,0
81,18412,600,0
81,19000,588,0
81,19600,600,0
81,20196,596,0
81,20788,592,0
81,21384,596,0
81,21976,592,0
81,22564,588,0
81,23156,592,0
81,23744,588,0
81,24332,588,0
81,24924,592,1
81,25508,584,1
81,26092,584,1
81,26732,640,1
81,27268,536,1
81,27852,584,1
81,28444,592,1
81,29028,584,1
81,29616,588,0
81,30204,588,0
81,30788,584,0
81,31376,588,0
81,31956,580,0
81,32544,588,0
81,33132,588,0
81,33720,588,0
81,34308,588,0
81,34892,584,0
81,35476,584,0
81,36064,588,0
81,36640,576,0
81,37224,584,0
81,37800,576,0
81,38380,580,0
81,38964,584,0
81,39548,584,0
81,40128,580,0
81,40712,584,0
81,41284,572,0
81,41856,572,0
81,42432,576,0
81,43004,572,0
81,43580,576,0
81,44156,576,0
81,44732,576,0
81,45308,576,0
81,45884,576,0
81,46468,584,0
81,47056,588,0
81,47640,584,0
81,48224,584,0
81,48812,588,1
81,49400,588,1
81,49984,584,1
81,50616,632,1
81,51156,540,1
81,51744,588,1
81,52328,584,1
81,52916,588,1
81,53500,584,1
81,54084,584,0
81,54660,576,0
81,55248,588,0
81,55832,584,0
81,56416,584,0
81,57000,584,0
81,57588,588,0
81,58172,584,0
81,58760,588,0
81,59348,588,1
81,59936,588,1
81,60520,584,1
81,61104,584,1
81,61740,636,1
81,62276,536,1
81,62864,588,0
81,63452,588,1
81,64028,576,0
81,64252,224,0
81,64532,280,0
81,64592,60,0
81,64872,280,0
81,65132,260,0
81,65532,400,0
81,65612,80,0
81,65952,340,0
81,66236,284,0
81,66456,220,0
81,66616,160,0
81,66816,200,0
81,67256,440,0
81,67536,280,0
81,67696,160,0
81,67996,300,0
81,68116,120,0
81,68496,380,0
81,68636,140,0
81,68956,320,0
81,69276,320,0
81,69396,120,0
81,69636,240,0
81,69916,280,0
81,70076,160,0
81,70496,420,0
81,70636,140,0
81,70896,260,0
81,71036,140,0
81,71296,260,0
81,71616,320,0
81,71776,160,0
81,72256,480,0
81,72392,136,0
81,72592,200,0
81,72836,244,0
81,73056,220,0
81,73316,260,0
81,73676,360,0
81,73816,140,0
81,74036,220,0
81,74316,280,0
81,74756,440,0
81,74836,80,0
81,75016,180,0
81,75256,240,0
81,75700,444,0
81,75800,100,0
81,76200,400,0
81,76260,60,0
81,76640,380,0
81,76880,240,0
81,77140,260,0
81,77400,260,0
81,77640,240,0
81,77740,100,0
81,77980,240,0
81,78300,320,0
81,78540,240,0
81,78940,400,0
81,79120,180,0
81,79220,100,0
81,79700,480,0
81,79740,40,0
81,79960,220,0
81,80436,476,0
81,80576,140,0
81,80756,180,0
